Continente do País de Destino; Ano ; Quantidade em Litros ; Valor em US$ 
Africa;2018; 34.101 ; 89.036,00 
Europa;2018; 191.056 ; 851.249,00 
America Central;2018; 1.709 ; 4.919,00 
America do Sul;2018; 3.443.397 ; 6.234.960,00 
Oceania;2018; 4.120 ; 15.675,00 
Asia;2018; 165.631 ; 527.047,00 
America do Norte;2018; 315.795 ; 916.715,00 
America do Sul;2019; 2.539.283 ; 4.116.514,00 
Oceania;2019; 10.711 ; 26.953,00 
America Central;2019; 12.899 ; 46.824,00 
Africa;2019; 45.782 ; 87.763,00 
Europa/Asia;2019; 71.775 ; 27.599,00 
Asia;2019; 255.836 ; 822.443,00 
Europa;2019; 179.501 ; 742.033,00 
America do Norte;2019; 723.356 ; 1.866.023,00 
America do Sul;2020; 3.387.644 ; 4.091.654,00 
Europa/Asia;2020; 1.481 ; 8.625,00 
Africa;2020; 51.528 ; 104.210,00 
America do Norte;2020; 1.389.762 ; 2.825.690,00 
Oceania;2020; 9.649 ; 28.723,00 
America Central;2020; 18.744 ; 47.709,00 
Europa;2020; 94.750 ; 435.286,00 
Asia;2020; 227.225 ; 684.512,00 
Europa;2021; 64.352 ; 313.558,00 
America Central;2021; 48.506 ; 82.058,00 
America do Sul;2021; 6.794.967 ; 7.677.243,00 
Asia;2021; 156.975 ; 562.316,00 
Europa/Asia;2021; 182.348 ; 314.062,00 
America do Norte;2021; 1.629.820 ; 3.267.064,00 
Africa;2021; 98.505 ; 177.774,00 
Oceania;2021; 18.474 ; 53.737,00 
America do Norte;2022; 1.567.357 ; 3.276.355,00 
Europa;2022; 66.195 ; 443.142,00 
Europa/Asia;2022; 67.456 ; 124.418,00 
America do Sul;2022; 5.888.393 ; 8.697.212,00 
Asia;2022; 184.607 ; 717.196,00 
Africa;2022; 155.784 ; 420.803,00 
America Central;2022; 16.149 ; 88.809,00 
Oceania;2022; 9.907 ; 43.131,00 
America do Sul;2023; 4.468.921 ; 6.860.814,00 
Europa;2023; 78.579 ; 533.970,00 
Asia;2023; 150.323 ; 454.378,00 
America do Norte;2023; 1.093.117 ; 2.158.583,00 
America Central;2023; 24.774 ; 115.046,00 
Africa;2023; 178.658 ; 541.292,00 
Europa/Asia;2023; 35.034 ; 121.987,00 
Oceania;2023; 11.987 ; 61.731,00 
